年份,粗钢产量,短流程占比,短流程产量,短流程废钢消耗,废钢资源预测,短流程废钢占可用资源比
2024,100509,10.0,10050.9,11055.99,28808,38.37819355734518
2025,96081,10.33333333333333,9928.369999999997,10921.206999999999,28229,38.6878989691452
2026,94000,10.66666666666667,10026.66666666667,11029.333333333338,29969,36.80247366723393
2027,92500,11.0,10175.0,11192.5,29387,38.08656889100623
2028,91000,11.33333333333333,10313.33333333333,11344.666666666664,29387,38.604371547509665
2029,89500,11.66666666666667,10441.66666666667,11485.833333333338,28789,39.89660402700107
2030,88000,12.0,10560.0,11616.000000000002,32769,35.44813695871098
2031,86800,12.8,11110.4,12221.44,34491,35.433707343944796
2032,85600,13.6,11641.6,12805.760000000002,36732,34.86268104105413
2033,84400,14.4,12153.6,13368.960000000001,37921,35.25476648822553
2034,83200,15.2,12646.4,13911.04,40610,34.25520807682837
2035,82000,16.0,13120.0,14432.000000000002,41361,34.892773385556445
2036,81200,17.2,13966.4,15363.04,39766,38.63360659860182
2037,80500,18.4,14812.0,16293.2,40502,40.22813688212928
2038,79800,19.6,15640.8,17204.88,43587,39.472503269323425
2039,79200,20.8,16473.6,18120.96,48920,37.042027800490594
2040,78600,22.0,17292.0,19021.2,49354,38.54034120841269
2041,78000,23.0,17940.0,19734.0,53285,37.03481279909918
2042,77400,24.0,18576.0,20433.600000000002,53684,38.062737500931384
2043,76800,25.0,19200.0,21120.0,57951,36.4445824921054
2044,76200,26.0,19812.0,21793.2,57041,38.206202556056176
2045,75600,27.0,20412.0,22453.2,57897,38.78128400435256
2046,75000,28.0,21000.0,23100.000000000004,58206,39.686630244304716
2047,74500,29.0,21605.0,23765.500000000004,58406,40.6901688182721
2048,74000,30.0,22200.0,24420.000000000004,58447,41.781443016750224
2049,73500,31.0,22785.0,25063.500000000004,58384,42.92871334612223
2050,73000,32.0,23360.0,25696.000000000004,58168,44.17549167927383
2051,72300,33.0,23859.0,26244.9,57730,45.46145851377101
2052,71600,34.0,24344.0,26778.4,57366,46.6799149321898
2053,70900,35.0,24815.0,27296.500000000004,57787,47.23640265111531
2054,70200,36.0,25272.0,27799.2,57476,48.36662259029856
2055,69500,37.0,25715.0,28286.500000000004,57995,48.77403224415899
2056,68800,38.0,26144.0,28758.4,56989,50.463071820877715
2057,68200,39.0,26598.0,29257.800000000003,55995,52.25073667291723
2058,67600,40.0,27040.0,29744.000000000004,55102,53.97989183695693
2059,67100,41.0,27511.0,30262.100000000002,54192,55.84237525834072
2060,66600,42.0,27972.0,30769.2,53288,57.741330130611026
